Temperature (i),Weight (i),Elevation (i),Runway (o)
15,545,0,8000
15,540,0,7800
15,530,0,7200
15,520,0,7000
15,500,0,6400
15,480,0,5900
15,460,0,5400
15,440,0,5000
15,545,2000,9000
15,540,2000,8500
15,530,2000,8200
15,520,2000,7700
15,500,2000,7000
15,480,2000,6400
15,460,2000,5900
15,440,2000,5500
15,545,4000,10200
15,540,4000,10000
15,530,4000,9100
15,520,4000,8600
15,500,4000,7500
15,480,4000,6900
15,460,4000,6400
15,440,4000,5900
30,545,0,8400
30,540,0,8200
30,530,0,7600
30,520,0,7200
30,500,0,6800
30,480,0,6200
30,460,0,5700
30,440,0,5300
30,545,2000,9500
30,540,2000,9100
30,530,2000,8700
30,520,2000,8200
30,500,2000,7300
30,480,2000,6600
30,460,2000,6200
30,440,2000,5700
30,545,4000,10800
30,540,4000,10500
30,530,4000,9500
30,520,4000,9000
30,500,4000,7900
30,480,4000,7200
30,460,4000,6600
30,440,4000,6200
36,545,0,9500
36,540,0,9100
36,530,0,8700
36,520,0,8200
36,500,0,7300
36,480,0,6600
36,460,0,6200
36,440,0,5700
36,545,2000,10800
36,540,2000,10500
36,530,2000,9500
36,520,2000,9000
36,500,2000,7900
36,480,2000,7200
36,460,2000,6600
36,440,2000,6200
36,545,4000,14500
36,540,4000,13700
36,530,4000,12100
36,520,4000,11000
36,500,4000,9400
36,480,4000,8200
36,460,4000,7400
36,440,4000,6800
42,545,0,10800
42,540,0,10500
42,530,0,9500
42,520,0,9000
42,500,0,7900
42,480,0,7200
42,460,0,6600
42,440,0,6200
42,545,2000,14500
42,540,2000,13700
42,530,2000,12100
42,520,2000,11000
42,500,2000,9400
42,480,2000,8200
42,460,2000,7400
42,440,2000,6800
,,,
,,,
,,,
,,,
42,510,4000,14000
42,500,4000,12300
42,480,4000,10400
42,460,4000,8800
42,440,4000,7700
48,545,0,14500
48,540,0,13700
48,530,0,12100
48,520,0,11000
48,500,0,9400
48,480,0,8200
48,460,0,7400
48,440,0,6800
,,,
,,,
,,,
,,,
48,510,2000,14000
48,500,2000,12300
48,480,2000,10400
48,460,2000,8800
48,440,2000,7700
,,,
,,,
,,,
,,,
54,510,0,14000
54,500,0,12300
54,480,0,10400
54,460,0,8800
54,440,0,7700
,,,
,,,
,,,
,,,
,,,
60,500,0,15000
60,480,0,11500
60,460,0,9800
60,440,0,8500
