Temperature (i),Weight (i),Elevation (i),Runway (o),Cutoff Weight,Cutoff Runway
30,660,0,12900,550,15500
30,640,0,11600,580,14900
30,620,0,10500,600,14500
30,600,0,9800,620,14000
30,580,0,9100,640,13700
30,560,0,8400,660,13400
30,540,0,7800,,
30,520,0,7300,,
30,637,2000,16000,,
30,632,2000,13800,,
30,628,2000,13000,,
30,620,2000,12500,,
30,608,2000,12000,,
30,600,2000,11000,,
30,580,2000,10200,,
30,560,2000,9500,,
30,540,2000,8800,,
30,520,2000,8100,,
30,600,4000,15600,,
30,595,4000,14500,,
30,589,4000,12700,,
30,580,4000,12300,,
30,560,4000,10800,,
30,540,4000,9900,,
30,520,4000,9200,,
36,500,4000,8400,,
36,480,4000,7800,,
36,637,0,16000,,
36,632,0,13800,,
36,628,0,13000,,
36,620,0,12500,,
36,608,0,12000,,
36,600,0,11000,,
36,580,0,10200,,
36,560,0,9500,,
36,540,0,8800,,
36,520,0,8100,,
36,600,2000,15600,,
36,595,2000,14500,,
36,589,2000,12700,,
36,580,2000,12300,,
36,560,2000,10800,,
36,540,2000,9900,,
36,520,2000,9200,,
36,500,2000,8400,,
36,480,2000,7800,,
36,573,4000,16000,,
36,570,4000,15000,,
36,560,4000,14500,,
36,549,4000,12400,,
36,540,4000,12000,,
36,530,4000,11500,,
36,520,4000,10500,,
36,500,4000,9600,,
36,480,4000,8800,,
42,600,0,15600,,
42,595,0,14500,,
42,589,0,12700,,
42,580,0,12300,,
42,560,0,10800,,
42,540,0,9900,,
42,520,0,9200,,
42,500,0,8400,,
42,480,0,7800,,
42,573,2000,16000,,
42,570,2000,15000,,
42,560,2000,14500,,
42,549,2000,12400,,
42,540,2000,12000,,
42,530,2000,11500,,
42,520,2000,10500,,
42,500,2000,9600,,
42,480,2000,8800,,
42,535,4000,15400,,
42,520,4000,14000,,
42,510,4000,12000,,
42,492,4000,11200,,
42,487,4000,10300,,
42,460,4000,9300,,
48,573,0,16000,,
48,570,0,15000,,
48,560,0,14500,,
48,549,0,12400,,
48,540,0,12000,,
48,530,0,11500,,
48,520,0,10500,,
48,500,0,9600,,
48,480,0,8800,,
48,535,2000,15400,,
48,520,2000,14000,,
48,510,2000,12000,,
48,492,2000,11200,,
48,487,2000,10300,,
48,460,2000,9300,,
48,515,4000,15300,,
48,512,4000,14500,,
48,498,4000,13800,,
48,490,4000,11800,,
48,472,4000,11000,,
48,460,4000,9900,,
