Temperature (i),Weight (i),Elevation (i),Runway (o),Cutoff Weight,Cutoff Runway
15,502,0,10200,357,15000
15,500,0,9900,380,15000
15,490,0,9400,420,15500
15,480,0,8600,450,15800
15,470,0,8100,470,16000
15,460,0,7800,,
15,450,0,7400,,
15,440,0,6900,,
15,430,0,6600,,
15,420,0,6400,,
30,502,0,10700,,
30,490,0,9900,,
30,480,0,9300,,
30,470,0,8500,,
30,460,0,8200,,
30,450,0,7800,,
30,440,0,7200,,
30,430,0,6900,,
30,420,0,6700,,
34,502,0,13900,,
34,500,0,13500,,
34,490,0,12400,,
34,480,0,11200,,
34,470,0,10200,,
34,460,0,9500,,
34,450,0,8700,,
34,440,0,8400,,
34,430,0,7900,,
34,420,0,7300,,
40,493,0,15600,,
40,480,0,12700,,
40,470,0,11200,,
40,460,0,10000,,
40,450,0,9300,,
40,440,0,8500,,
40,430,0,8000,,
40,420,0,7700,,
44,471,0,16000,,
44,460,0,13100,,
44,450,0,11500,,
44,440,0,10300,,
44,430,0,9400,,
44,420,0,8600,,
49,453,0,15500,,
49,450,0,13300,,
49,440,0,11300,,
49,430,0,9900,,
49,420,0,9000,,
53,436,0,16000,,
53,430,0,13000,,
53,420,0,11200,,
53,410,0,9800,,
53,400,0,9000,,
15,502,2000,13000,,
15,500,2000,12700,,
15,490,2000,11600,,
15,480,2000,10500,,
15,470,2000,9600,,
15,460,2000,9000,,
15,450,2000,8300,,
15,440,2000,7900,,
15,430,2000,7500,,
15,420,2000,6900,,
15,487,4000,15700,,
15,480,4000,13900,,
15,470,4000,12200,,
15,460,4000,10900,,
15,450,4000,9800,,
15,440,4000,9200,,
15,430,4000,8400,,
15,420,4000,8000,,
30,502,2000,13900,,
30,500,2000,13600,,
30,490,2000,12300,,
30,480,2000,11200,,
30,470,2000,10200,,
30,460,2000,9500,,
30,450,2000,8700,,
30,440,2000,8400,,
30,430,2000,7900,,
30,420,2000,7300,,
30,483,4000,15500,,
30,480,4000,14800,,
30,470,4000,13000,,
30,460,4000,11600,,
30,450,4000,10300,,
30,440,4000,9700,,
30,430,4000,8800,,
30,420,4000,8400,,
40,471,2000,16100,,
40,470,2000,15800,,
40,460,2000,13300,,
40,450,2000,11500,,
40,440,2000,10300,,
40,430,2000,9500,,
40,420,2000,8500,,
40,410,2000,8100,,
40,448,4000,15800,,
40,440,4000,13500,,
40,430,4000,11600,,
40,420,4000,10500,,
40,410,4000,9500,,
40,400,4000,8600,,
40,390,4000,8100,,
44,448,2000,15800,,
44,440,2000,13500,,
44,430,2000,11600,,
44,420,2000,10500,,
44,410,2000,9500,,
44,400,2000,8600,,
44,390,2000,8100,,
44,425,4000,15500,,
44,420,4000,13700,,
44,410,4000,11800,,
44,400,4000,10400,,
44,390,4000,9500,,
44,380,4000,8600,,
49,426,2000,16000,,
49,420,2000,13000,,
49,410,2000,11100,,
49,400,2000,9900,,
49,390,2000,9000,,
49,380,2000,8100,,
49,418,4000,15700,,
49,410,4000,13000,,
49,400,4000,11100,,
49,390,4000,9900,,
49,380,4000,9100,,
49,370,4000,8000,,
